distanza_calcolata,distanza_reale,errore,tag_center_x,tag_center_y
0.14,0.1,0.04,347,381
0.14,0.11,0.03,322,379
0.14,0.11,0.03,297,379
0.14,0.12,0.02,272,380
0.17,0.13,0.04,247,384
0.17,0.14,0.03,221,389
0.19,0.15,0.04,196,396
0.19,0.16,0.03,171,405
0.22,0.17,0.05,151,414
0.24,0.19,0.05,125,427
0.26,0.2,0.06,100,442
0.28,0.21,0.07,75,459
0.71,0.56,0.15,599,81
0.72,0.55,0.17,554,67
0.75,0.53,0.22,519,59
0.73,0.49,0.24,487,63
0.7,0.47,0.23,457,72
0.68,0.43,0.25,420,87
0.64,0.38,0.26,383,105
0.6,0.35,0.25,346,125
0.55,0.31,0.24,310,149
0.49,0.28,0.21,273,177
0.41,0.27,0.14,236,209
0.35,0.24,0.11,207,238
0.31,0.22,0.09,170,280
0.28,0.21,0.07,140,317
0.26,0.22,0.04,102,371
0.28,0.23,0.05,71,412
0.3,0.25,0.05,43,431
0.63,0.51,0.12,36,118
0.64,0.5,0.14,82,103
0.66,0.5,0.16,121,92
0.69,0.49,0.2,160,83
0.69,0.5,0.19,190,78
0.69,0.5,0.19,167,82
0.66,0.51,0.15,130,90
0.65,0.52,0.13,96,98
0.64,0.53,0.11,53,111
0.62,0.5,0.12,605,126
0.64,0.49,0.15,562,111
0.64,0.49,0.15,520,99
0.68,0.49,0.19,478,89
0.69,0.48,0.21,437,81
0.71,0.48,0.23,389,74
0.72,0.48,0.24,349,71
0.72,0.49,0.23,316,70
0.71,0.49,0.22,276,71
0.7,0.49,0.21,228,75
0.68,0.5,0.18,187,80
0.66,0.51,0.15,146,87
0.64,0.52,0.12,105,97
0.63,0.53,0.1,62,109
0.42,0.35,0.07,29,249
0.42,0.33,0.09,66,232
0.42,0.31,0.11,91,229
0.38,0.28,0.1,91,257
0.33,0.25,0.08,79,304
0.31,0.23,0.08,68,346
0.3,0.22,0.08,54,404
0.26,0.12,0.14,150,446
0.24,0.11,0.13,174,435
0.22,0.1,0.12,198,426
0.19,0.1,0.09,217,420
0.19,0.09,0.1,246,413
0.19,0.08,0.11,269,409
0.17,0.08,0.09,293,407
0.17,0.08,0.09,317,408
0.17,0.08,0.09,341,410
0.17,0.09,0.08,365,413
0.17,0.1,0.07,388,419
0.22,0.14,0.08,458,447
0.33,0.27,0.06,586,319
0.33,0.27,0.06,552,301
0.35,0.26,0.09,526,288
0.33,0.25,0.08,493,275
0.33,0.25,0.08,467,266
0.35,0.25,0.1,441,258
0.35,0.24,0.11,416,252
0.35,0.24,0.11,390,247
0.35,0.24,0.11,365,243
0.36,0.24,0.12,339,241
0.35,0.25,0.1,307,240
0.35,0.25,0.1,275,241
0.33,0.25,0.08,243,244
0.33,0.26,0.07,218,248
0.31,0.27,0.04,185,254
0.31,0.28,0.03,146,265
0.31,0.28,0.03,113,277
0.31,0.28,0.03,80,294
0.3,0.28,0.02,45,335
0.83,0.65,0.18,609,40
0.84,0.65,0.19,584,34
0.83,0.66,0.17,604,40
0.79,0.6,0.19,563,49
0.81,0.6,0.21,518,37
0.81,0.59,0.22,473,28
0.86,0.59,0.27,430,21
0.86,0.59,0.27,387,17
0.86,0.54,0.32,340,17
0.81,0.51,0.3,361,33
0.76,0.48,0.28,400,55
0.71,0.46,0.25,431,74
0.65,0.44,0.21,463,96
0.6,0.42,0.18,495,121
0.55,0.41,0.14,528,148
0.52,0.42,0.1,558,172
0.5,0.43,0.07,595,187
0.52,0.42,0.1,587,174
0.53,0.41,0.12,547,159
0.55,0.41,0.14,508,147
0.57,0.41,0.16,461,135
0.59,0.41,0.18,415,126
0.59,0.39,0.2,419,127
0.57,0.37,0.2,459,139
0.5,0.35,0.15,497,171
0.45,0.34,0.11,537,210
0.41,0.35,0.06,569,243
0.39,0.36,0.03,600,259
0.55,0.42,0.13,59,160
0.54,0.37,0.17,91,159
0.48,0.33,0.15,84,195
0.42,0.3,0.12,72,235
0.36,0.27,0.09,56,290
0.33,0.25,0.08,42,340
0.31,0.24,0.07,26,398
0.39,0.33,0.06,29,278
0.38,0.32,0.06,65,260
0.39,0.31,0.08,100,246
0.39,0.31,0.08,124,236
0.41,0.29,0.12,170,222
0.42,0.29,0.13,198,216
0.42,0.29,0.13,231,210
0.46,0.28,0.18,265,207
0.43,0.28,0.15,298,205
0.45,0.28,0.17,332,206
0.39,0.29,0.1,366,208
0.38,0.29,0.09,400,213
0.38,0.3,0.08,433,220
0.36,0.3,0.06,467,228
0.35,0.31,0.04,501,240
0.35,0.32,0.03,536,253
0.35,0.33,0.02,571,269
0.35,0.34,0.01,607,288
0.77,0.6,0.17,579,56
0.79,0.59,0.2,543,46
0.79,0.59,0.2,507,38
0.83,0.59,0.24,463,29
0.85,0.58,0.27,420,23
0.85,0.58,0.27,377,19
0.86,0.59,0.27,334,17
0.86,0.59,0.27,291,16
0.86,0.58,0.28,279,17
0.86,0.58,0.28,322,16
0.85,0.59,0.26,364,18
0.85,0.59,0.26,407,22
0.84,0.59,0.25,451,28
0.81,0.6,0.21,495,35
0.79,0.6,0.19,539,45
0.77,0.61,0.16,585,58
0.75,0.59,0.16,608,68
0.78,0.59,0.19,562,54
0.79,0.58,0.21,517,42
0.81,0.58,0.23,473,33
0.83,0.58,0.25,438,28
0.85,0.58,0.27,395,23
0.85,0.58,0.27,353,19
0.86,0.58,0.28,310,18
0.85,0.56,0.29,267,19
0.83,0.52,0.31,224,26
0.75,0.47,0.28,204,56
0.66,0.42,0.24,199,84
0.6,0.38,0.22,195,115
0.53,0.33,0.2,189,147
0.46,0.3,0.16,183,183
0.39,0.24,0.15,176,223
0.31,0.21,0.1,169,266
0.28,0.18,0.1,161,314
0.24,0.15,0.09,152,368
0.24,0.14,0.1,141,428
0.24,0.18,0.06,570,431
0.22,0.17,0.05,544,422
0.77,0.58,0.19,45,57
0.77,0.54,0.23,78,54
0.73,0.5,0.23,111,64
0.7,0.47,0.23,143,76
0.66,0.43,0.23,175,90
0.63,0.4,0.23,206,106
0.59,0.36,0.23,231,121
0.55,0.33,0.22,262,141
0.52,0.29,0.23,292,165
0.45,0.25,0.2,322,192
0.41,0.23,0.18,352,222
0.33,0.2,0.13,383,256
0.28,0.17,0.11,413,295
0.24,0.15,0.09,449,349
0.24,0.15,0.09,479,402
0.54,0.44,0.1,587,160
0.55,0.43,0.12,554,148
0.57,0.43,0.14,522,138
0.59,0.43,0.16,490,129
0.62,0.42,0.2,451,120
0.62,0.42,0.2,419,114
0.63,0.42,0.21,381,109
0.64,0.42,0.22,342,106
0.64,0.43,0.21,312,106
0.63,0.43,0.2,281,106
0.62,0.43,0.19,250,108
0.6,0.44,0.16,219,111
0.59,0.43,0.16,188,116
0.58,0.42,0.16,157,122
0.53,0.37,0.16,124,144
0.48,0.34,0.14,116,173
0.42,0.31,0.11,109,203
0.38,0.28,0.1,98,245
0.33,0.26,0.07,89,281
0.3,0.24,0.06,79,320
0.28,0.22,0.06,71,352
0.28,0.21,0.07,59,398
0.64,0.5,0.14,598,122
0.66,0.5,0.16,555,107
0.66,0.48,0.18,513,95
0.69,0.44,0.25,480,89
0.63,0.43,0.2,465,113
0.62,0.43,0.19,471,124
0.63,0.42,0.21,433,116
0.64,0.42,0.22,395,111
0.65,0.42,0.23,364,107
0.64,0.43,0.21,325,106
0.64,0.43,0.21,287,106
0.63,0.43,0.2,248,108
0.6,0.44,0.16,210,112
